id,query,top_k_sources,scores,answer_preview,grounded
1,What is photosynthesis?,Photosynthesis (https://simple.wikipedia.org/wiki/Photosynthesis) | Carbon dioxide (https://simple.wikipedia.org/wiki/Carbon%20dioxide) | Cellular respiration (https://simple.wikipedia.org/wiki/Cellular%20respiration) | Water cycle (https://simple.wikipedia.org/wiki/Water%20cycle),0.497 | 0.955 | 1.102 | 1.163,"According to [1] Photosynthesis, photosynthesis is how plants and some microorganisms make carbohydrates. It is an endothermic chemical process which ",y
2,How does the immune system fight viruses?,Immunity (medical) (https://simple.wikipedia.org/wiki/Immunity%20%28medical%29) | Vaccination (https://simple.wikipedia.org/wiki/Vaccination) | Immunology (https://simple.wikipedia.org/wiki/Immunology) | HIV (https://simple.wikipedia.org/wiki/HIV),0.848 | 0.870 | 0.920 | 1.012,"According to the provided context, the immune system fights viruses through two types of immunity: innate immunity and adaptive immunity. 

Innate imm",y
3,What causes earthquakes?,Earthquake (https://simple.wikipedia.org/wiki/Earthquake) | San Andreas Fault (https://simple.wikipedia.org/wiki/San%20Andreas%20Fault) | List of earthquakes (https://simple.wikipedia.org/wiki/List%20of%20earthquakes) | List of disasters (https://simple.wikipedia.org/wiki/List%20of%20disasters),0.605 | 1.012 | 1.018 | 1.101,"According to [1] Earthquake, disturbances in the Earth and the sudden movement of tectonic plates that were previously stuck cause earthquakes. The te",y
4,Who invented the telephone?,Alexander Graham Bell (https://simple.wikipedia.org/wiki/Alexander%20Graham%20Bell) | Telephone (https://simple.wikipedia.org/wiki/Telephone) | Thomas Edison (https://simple.wikipedia.org/wiki/Thomas%20Edison) | Telephone book (https://simple.wikipedia.org/wiki/Telephone%20book),0.694 | 0.815 | 1.159 | 1.290,"According to [1] Alexander Graham Bell, Alexander Graham Bell was the first inventor to patent the telephone in 1876.",y
5,How do computers store data?,Computer (https://simple.wikipedia.org/wiki/Computer) | USB flash drive (https://simple.wikipedia.org/wiki/USB%20flash%20drive) | Random-access memory (https://simple.wikipedia.org/wiki/Random-access%20memory) | Floppy disk (https://simple.wikipedia.org/wiki/Floppy%20disk),0.767 | 0.926 | 0.934 | 0.972,"According to [1] and other sources, computers store data in various ways, including:

* Hard drives (mentioned in [1])
* USB flash drives (mentioned i",y
6,What is the water cycle?,Water cycle (https://simple.wikipedia.org/wiki/Water%20cycle) | Water vapor (https://simple.wikipedia.org/wiki/Water%20vapor) | Condensation (https://simple.wikipedia.org/wiki/Condensation) | Season (https://simple.wikipedia.org/wiki/Season),0.376 | 1.040 | 1.187 | 1.194,The water cycle (or hydrological cycle) is the cycle that water goes through on Earth [1].,y
7,How do vaccines work?,Vaccine (https://simple.wikipedia.org/wiki/Vaccine) | Vaccination (https://simple.wikipedia.org/wiki/Vaccination) | Immunity (medical) (https://simple.wikipedia.org/wiki/Immunity%20%28medical%29) | Immunology (https://simple.wikipedia.org/wiki/Immunology),0.480 | 0.646 | 0.975 | 1.089,"According to [1] and [2], vaccines work by making the body stronger against an infection. They do this by showing the immune system a specific microor",y
8,What is the theory of evolution?,Evolution (https://simple.wikipedia.org/wiki/Evolution) | Evolutionary biology (https://simple.wikipedia.org/wiki/Evolutionary%20biology) | Charles Darwin (https://simple.wikipedia.org/wiki/Charles%20Darwin) | Big Bang (https://simple.wikipedia.org/wiki/Big%20Bang),0.406 | 0.744 | 0.965 | 1.184,"The theory of evolution explains how evolution works, and how living and extinct things have come to be the way they are. It is a biological process t",y
9,How does a black hole form?,Black hole (https://simple.wikipedia.org/wiki/Black%20hole) | Fecund universes (https://simple.wikipedia.org/wiki/Fecund%20universes) | Liquid (https://simple.wikipedia.org/wiki/Liquid) | Star (https://simple.wikipedia.org/wiki/Star),0.845 | 1.150 | 1.335 | 1.342,"According to [1] Black hole, a black hole forms when spacetime gets curved by a huge mass, which is often the result of a collapsing star. This causes",y
10,What is the speed of light?,Speed of light (https://simple.wikipedia.org/wiki/Speed%20of%20light) | Light year (https://simple.wikipedia.org/wiki/Light%20year) | Speed (https://simple.wikipedia.org/wiki/Speed) | Albert Einstein (https://simple.wikipedia.org/wiki/Albert%20Einstein),0.637 | 0.988 | 1.151 | 1.165,"According to [1] Speed of light, the speed of light is exactly defined, but the exact value is not specified in the given context. However, [2] Light ",y
